Advertised Name,Operating Kitchen
Bobby V's Cake Slice,Chuck E Cheese
Donatos Pizza,Red Robin
Thrilled Cheese,IHOP
Pasqually's Pizza,Chuck E Cheese
Super Mega Dilla,IHOP
Lankybox Kitchen,Chuck E Cheese
Fresh Set,Red Robin
Chicken Sammy's,Red Robin
Pardon My Cheesesteak,IHOP
It's Just Wings,"Chili's Grill & Bar
"
Thighstop,Wingstop
Apps All Around,TGI
Wild Burger,Buffalo Wild Wings
The Burger Den,Denny's
Tender Shack,Outback Steakhouse
Hootie’s Burger Bar,Hooters
Hootie’s Bait and Tackle,Hooters
Hootie’s Chicken Tenders,Hooters
The Melt Down,Denny's
Wow Bao,Sizzler
Twisted Mac,Macaroni Grill
Buster's American Kitchen,Dave & Buster's
Kumi,TGI
Top Notch Sandwiches,Various
Bosscat Wings,Various
Marco's Pizza Party,Various
C's Greens Salad,Various
The Ice Cream Shop,Various
Stonie Bowls,TGI
Krispy Rice,TGI
